Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
609882.0,New Year's Eve 2021-2022,12/31/2021 12:00:00 AM,12/31/2021 11:59:00 PM,Parks Department,Special Event,Manhattan,Father Duffy Square: Father Duffy Square,,,"5,","18,"
681560.0,New Year's Eve 2022-23,12/31/2022 12:00:00 AM,12/31/2022 11:59:00 PM,Parks Department,Special Event,Manhattan,Father Duffy Square: Father Duffy Square,,,"5,","18,"
15579.0,Times Square New Year's Eve 2010-2011,12/31/2010 06:00:00 PM,01/01/2011 12:15:00 AM,Street Activity Permit Office,Special Event,Manhattan," 7 AVENUE between WEST   42 STREET and WEST   43 STREET, 42/43 Broadway Pedestrian Plaza (Times Sq): 42/43 Broadway Pedestrian Plaza (Times Sq) BROADWAY between W. 42ND STREET and W. 43RD STREET, Military Island:: Military Island: BROADWAY between W. 43RD STREET and W. 44TH STREET, 43/44 Broadway Pedestrian Plaza (Times Sq): 43/44 Broadway Pedestrian Plaza (Times Sq) BROADWAY between W. 43RD STREET and W. 44TH STREET,  WEST   43 STREET between 6 AVENUE and 8 AVENUE,  WEST   44 STREET between BROADWAY and 6 AVENUE,  9 AVENUE between WEST   44 STREET and WEST   45 STREET, Cabbage Patch Island: Cabbage Patch Island BROADWAY between W. 44TH STREET and W. 45TH STREET, Fence Island:: Fence Island: BROADWAY between W. 45TH STREET and W. 46TH STREET,  WEST   45 STREET between BROADWAY and 8 AVENUE,  WEST   46 STREET between 6 AVENUE and 8 AVENUE,  WEST   47 STREET between BROADWAY and 8 AVENUE, 47/48 Broadway Pedestrian Plaza (Times Sq): 47/48 Broadway Pedestrian Plaza (Times Sq) BROADWAY between W. 47TH STREET and W. 48TH STREET,  BROADWAY between WEST   50 STREET and WEST   54 STREET,  7 AVENUE between WEST   59 STREET and WEST   58 STREET",Both,Pedestrian Plaza ,"4, 5, ","14, 18, "
187838.0,16th NYC Lunar New Year Parade,02/22/2015 01:00:00 PM,02/22/2015 04:00:00 PM,Police Department,Parade,Manhattan," FORSYTH STREET between HESTER STREET and GRAND STREET,  HESTER STREET between MULBERRY STREET and BOWERY,  MOTT STREET between GRAND STREET and CANAL STREET,  CHATHAM SQUARE between MOTT STREET and EAST BROADWAY,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTH STREET,  ELDRIDGE STREET between DIVISION STREET and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH ST between DIVISION ST and E BROADWAY",Full,Full Street Closure ,"2, 3, ","5, "
255095.0,17th NYC Lunar New Year Parade,02/14/2016 01:00:00 PM,02/14/2016 04:00:00 PM,Police Department,Parade,Manhattan," MOTT STREET between GRAND STREET and CANAL STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  FORSYTH STREET between GRAND STREET and DELANCEY STREET,  HESTER STREET between MULBERRY STREET and BOWERY,  EAST BROADWAY between CHATHAM SQUARE and FORSYTH STREET,  ELDRIDGE STREET between DIVISION STREET and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between HESTER STREET and GRAND STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE STREET",Full,Full Street Closure ,"2, 3, ","5, "
322570.0,18th Lunar New Year Parade,02/05/2017 01:00:00 PM,02/05/2017 04:00:00 PM,Police Department,Parade,Manhattan," HESTER STREET between BOWERY and MULBERRY STREET,  MOTT STREET between GRAND STREET and CANAL STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTHE STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between HESTER STREET and GRAND STREET,  FORSYTH STREET between GRAND STREET and DELANCEY STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE STREET",Full,Full Street Closure ,"2, 3, ","5, "
390232.0,19th Lunar New Year Parade,02/25/2018 01:00:00 PM,02/25/2018 04:00:00 PM,Police Department,Parade,Manhattan," MOTT STREET between GRAND STREET and CANAL STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTHE STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between BOWERY and MULBERRY STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between GRAND STREET and DELANCEY STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE STREET,  FORSYTH STREET between HESTER STREET and GRAND ST",Full,Full Street Closure ,"2, 3, ","5, "
457965.0,20th Lunar New Year Parade,02/17/2019 01:00:00 PM,02/17/2019 04:00:00 PM,Police Department,Parade,Manhattan," FORSYTH STREET between GRAND STREET and DELANCEY STREET,  MOTT STREET between GRAND STREET and CANAL STREET,  HESTER STREET between BOWERY and MULBERRY STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTH STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between HESTER STREET and GRAND STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE STR",Full,Full Street Closure ,"2, 3, ","5, "
15075.0,Lunar New Year Parade,02/21/2010 01:00:00 PM,02/21/2010 03:00:00 PM,Police Department,Parade,Manhattan," MOTT STREET between HESTER STREET and BROOME STREET,  MOTT STREET between HESTER STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and RUTGERS STREET,  GRAND STREET between ALLEN STREET and CHRYSTIE STREET,  CHRYSTIE STREET between HESTER STREET and GRAND STREET,  CHRYSTIE STREET between DELANCEY STREET and RIVINGTON STREET",Both,Full Street Closure ,"2, 3, ","5, 7, "
530067.0,Lunar New Year Parade,02/09/2020 01:00:00 PM,02/09/2020 04:00:00 PM,Police Department,Parade,Manhattan," FORSYTH STREET between GRAND STREET and RIVINGTON STREET,  MOTT STREET between GRAND STREET and CANAL STREET,  HESTER STREET between BOWERY and MULBERRY STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTH STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between HESTER STREET and GRAND STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE ST",Full,Full Street Closure ,"2, 3, ","5, "
3158.0,Lunar New Year Parade,02/01/2009 01:00:00 PM,02/01/2009 03:00:00 PM,Police Department,Parade,Manhattan," MOTT STREET between HESTER STREET and BROOME STREET,  MOTT STREET between HESTER STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and RUTGERS STREET,  GRAND STREET between ALLEN STREET and CHRYSTIE STREET,  HESTER STREET between CHRYSTIE STREET,  DELANCY STREET between CHRYSTIE STREET",Both,Full Street Closure ,"2, 3, ","5, 7, "
614467.0,The 23rd Lunar New Year Parade,02/20/2022 01:00:00 PM,02/20/2022 04:00:00 PM,Police Department,Parade,Manhattan,"MOTT STREET between BROOME STREET and CANAL STREET,  HESTER STREET between BOWERY and MULBERRY STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTH STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between HESTER STREET and GRAND STREET,  CHATHAM SQUARE between MOTT STREET and EAST BROADWAY,  FORSYTH STREET between GRAND STREET and DELANCEY STREET",Full,Full Street Closure,"2, 3,","5,"
682208.0,the 25th Lunar New Year Parade,02/12/2023 01:00:00 PM,02/12/2023 04:00:00 PM,Police Department,Parade,Manhattan,"MOTT STREET between BROOME STREET and CANAL STREET,  HESTER STREET between BOWERY and MULBERRY STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTH STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between HESTER STREET and GRAND STREET,  CHATHAM SQUARE between MOTT STREET and EAST BROADWAY,  FORSYTH STREET between GRAND STREET and DELANCEY STREET",Both,Full Street Closure,"2, 3,","5,"
184160.0,38th Annual Three Kings Day Parade,01/06/2015 11:00:00 AM,01/06/2015 01:00:00 PM,Police Department,Parade,Manhattan," EAST  106 STREET between 5 AVENUE and LEXINGTON AVENUE,  EAST  106 STREET between 3 AVENUE and PARK AVENUE,  EAST  115 STREET between PARK AVENUE and MADISON AVENUE",Both,Full Street Closure ,"11, ","23, 25, "
251005.0,39th Annual Three Kings Day Parade,01/06/2016 11:00:00 AM,01/06/2016 01:00:00 PM,Police Department,Parade,Manhattan," 3 AVENUE between EAST  106 STREET and EAST  116 STREET,  EAST  116 STREET between 3 AVENUE and PARK AVENUE,  EAST  115 STREET between PARK AVENUE and MADISON AVENUE,  EAST  106 STREET between LEXINGTON AVENUE and 3 AVENUE,  PARK AVENUE between EAST  116 STREET and EAST  115 STREET,  EAST  106 STREET between 5 AVENUE and LEXINGTON AVENUE",Both,Full Street Closure ,"11, ","23, 25, "
311947.0,40th Annual Three Kings Day Parade,01/06/2017 11:00:00 AM,01/06/2017 01:00:00 PM,Police Department,Parade,Manhattan," EAST  106 STREET between PARK AVENUE and 3 AVENUE,  EAST  115 STREET between PARK AVENUE and MADISON AVENUE,  EAST  106 STREET between 5 AVENUE and PARK AVENUE,  3 AVENUE between EAST  106 STREET and EAST  116 STREET,  EAST  116 STREET between 3 AVENUE and PARK AVENUE,  PARK AVENUE between EAST  116 STREET and EAST  115 STREET",Both,Full Street Closure ,"11, ","23, 25, "
382319.0,41st Annual Three Kings Day Parade,01/05/2018 11:00:00 AM,01/05/2018 01:00:00 PM,Police Department,Parade,Manhattan," EAST  115 STREET between PARK AVENUE and MADISON AVENUE,  EAST  106 STREET between PARK AVENUE and 3 AVENUE,  EAST  106 STREET between 5 AVENUE and PARK AVENUE,  3 AVENUE between EAST  106 STREET and EAST  116 STREET,  EAST  116 STREET between 3 AVENUE and PARK AVENUE,  PARK AVENUE between EAST  116 STREET and EAST  115 STREET",Both,Full Street Closure ,"11, ","23, 25, "
447741.0,42nd Annual Three Kings Day Parade,01/04/2019 11:00:00 AM,01/04/2019 01:00:00 PM,Police Department,Parade,Manhattan," EAST  106 STREET between 5 AVENUE and PARK AVENUE,  EAST  106 STREET between PARK AVENUE and 3 AVENUE,  3 AVENUE between EAST  106 STREET and EAST  116 STREET,  EAST  116 STREET between 3 AVENUE and PARK AVENUE,  PARK AVENUE between EAST  116 STREET and EAST  115 STREET,  EAST  115 STREET between PARK AVENUE and MADISON AVENUE",Both,Full Street Closure ,"11, ","23, 25, "
523266.0,43rd Annual Three Kings Day Parade,01/06/2020 11:00:00 AM,01/06/2020 01:00:00 PM,Police Department,Parade,Manhattan," EAST  106 STREET between 5 AVENUE and PARK AVENUE,  EAST  106 STREET between PARK AVENUE and 3 AVENUE,  3 AVENUE between EAST  106 STREET and EAST  116 STREET,  PARK AVENUE between EAST  116 STREET and EAST  115 STREET,  EAST  115 STREET between PARK AVENUE and MADISON AVENUE,  EAST  116 STREET between 3 AVENUE and PARK AVENUE",Both,Full Street Closure ,"11, ","23, 25, "
681902.0,46th Annual Three Kings Day Parade,01/06/2023 11:00:00 AM,01/06/2023 01:00:00 PM,Police Department,Parade,Manhattan,"EAST  106 STREET between 5 AVENUE and PARK AVENUE,  EAST  106 STREET between PARK AVENUE and THIRD AVENUE,  THIRD AVENUE between EAST  106 STREET and EAST  116 STREET,  EAST  116 STREET between THIRD AVENUE and PARK AVENUE,  PARK AVENUE between EAST  116 STREET and EAST  115 STREET,  EAST  115 STREET between PARK AVENUE and MADISON AVENUE",Both,Full Street Closure,"11,","23, 25,"
,Macy's 4th of July Fireworks,07/04/2008 12:00:00 AM,07/04/2008 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2009 12:00:00 AM,07/04/2009 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2010 12:00:00 AM,07/04/2010 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2011 12:00:00 AM,07/04/2011 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2012 12:00:00 AM,07/04/2012 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2013 12:00:00 AM,07/04/2013 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2014 12:00:00 AM,07/04/2014 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2015 12:00:00 AM,07/04/2015 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2016 12:00:00 AM,07/04/2016 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2017 12:00:00 AM,07/04/2017 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2018 12:00:00 AM,07/04/2018 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2019 12:00:00 AM,07/04/2019 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2021 12:00:00 AM,07/04/2021 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
,Macy's 4th of July Fireworks,07/04/2022 12:00:00 AM,07/04/2022 11:59:00 PM,,,Manhattan,East River Walk: East River Esplanade,,,,
