"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-01","1.4","20.1","0.0","0.0",,"13.3","10.0","   60","   60","4.5","6.7","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-02","2.6","1.0","0.0","0.0",,"15.0","2.8","  300","  300","8.1","13.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-03","4.4","0.0","0.0","0.0",,"2.8","-5.5","  350","  360","8.1","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-04","2.7","0.0","0.0","0.0",,"1.1","-7.1","  300","  290","6.3","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-05","2.5","5.8","0.0","0.0",,"8.3","-0.5","  220","  240","6.7","10.3","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-06","2.9","0.0","0.0","0.0",,"5.0","1.1","  280","  270","7.6","12.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-07","3.9","9.7","147.0","150.0",,"1.1","-3.8","   30","  270","8.1","13.0","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-08","2.7","0.0","0.0","80.0",,"-1.0","-6.6","  310","  330","7.2","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-09","3.8","2.5","0.0","80.0",,"4.4","-1.6","  240","  220","7.2","10.7","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-10","3.8","0.0","0.0","0.0",,"4.4","-4.3","  300","  300","10.3","16.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-11","3.3","0.0","0.0","0.0",,"-4.3","-9.3","  300","  300","8.1","13.0","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-12","2.7","0.0","0.0","0.0",,"4.4","-6.6","  210","  200","7.6","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-13","1.4","0.0","0.0","0.0",,"8.9","1.1","   60","   70","3.6","5.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-14","3.7","0.0","0.0","0.0",,"6.1","-6.0","   10","   40","9.8","14.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-15","3.2","0.0","0.0","0.0",,"-6.0","-12.1","   10","   20","6.3","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-16","3.8","9.4","20.0","0.0",,"2.8","-12.1","   60","   40","7.6","12.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-17","4.5","29.5","0.0","0.0",,"6.7","1.1","   50","   60","10.7","16.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-18","4.1","0.0","0.0","0.0",,"2.2","-1.6","  300","  310","8.9","14.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-19","3.0","0.0","0.0","0.0",,"9.4","-2.1","  240","  200","6.7","12.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-20","3.0","7.6","0.0","0.0",,"7.8","-5.5","   10","   10","8.1","12.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-21","3.5","0.0","0.0","0.0",,"-5.5","-9.9","   20","   10","7.2","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-22","2.5","0.0","0.0","0.0",,"-1.6","-10.5","  250","   30","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-23","2.4","0.5","5.0","0.0",,"2.8","-4.3","  240","  230","6.3","9.8","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-24","1.9","0.0","0.0","0.0",,"2.2","-3.2","  210","  210","6.7","8.9",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-25","2.6","0.0","0.0","0.0",,"5.6","-2.1","  280","  270","5.8","8.5",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-26","2.8","0.0","0.0","0.0",,"-2.1","-6.6","  300","  300","7.2","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-27","2.4","0.0","0.0","0.0",,"0.0","-8.2","  230","  240","6.7","8.9",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-28","2.1","3.3","30.0","0.0",,"0.0","-1.6","   40","   30","8.9","12.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-29","5.6","19.6","185.0","150.0",,"-1.6","-11.0","  350","  350","10.3","14.3","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-30","3.1","0.0","0.0","180.0",,"-3.2","-11.0","  300","  290","7.6","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-01-31","1.7","0.0","0.0","150.0",,"-0.5","-6.0","   60","   40","4.5","5.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-01","2.3","0.0","0.0","150.0",,"2.2","-4.9","   50","   50","5.8","7.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-02","1.3","0.0","0.0","100.0",,"8.3","0.0","  140","  140","3.6","5.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-03","1.7","10.7","0.0","50.0",,"11.1","5.6","  230","  230","5.8","8.1","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-04","3.0","18.3","0.0","0.0",,"13.9","-3.2","  340","  350","6.3","11.2","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-05","3.9","0.0","0.0","0.0",,"-2.7","-7.1","  300","  300","8.9","12.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-06","2.1","0.0","0.0","0.0",,"-1.0","-8.2","   50","  130","4.5","6.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-07","1.6","3.8","0.0","0.0",,"2.8","-1.0","   70","   60","5.8","8.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-08","3.0","1.8","0.0","0.0",,"7.2","0.0","  270","  300","7.2","11.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-09","1.8","0.0","0.0","0.0",,"7.8","-1.6","  180","  200","5.4","8.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-10","2.3","0.0","0.0","0.0",,"12.2","2.8","  280","  260","7.6","14.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-11","2.3","0.0","0.0","0.0",,"13.9","3.3","  190","  170","6.3","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-12","3.4","0.0","0.0","0.0",,"15.0","5.6","  230","  220","7.2","12.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-13","3.0","5.8","41.0","30.0",,"5.6","-3.8","   10","   10","5.8","8.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-14","3.9","0.0","0.0","30.0",,"-3.8","-8.8","  300","  290","7.6","12.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-15","2.2","0.0","0.0","0.0",,"-1.0","-8.8","  230","  280","4.5","7.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-16","2.6","0.0","0.0","0.0",,"9.4","-2.1","  220","  200","6.3","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-17","3.3","7.9","0.0","0.0",,"20.0","9.4","  230","  190","7.2","11.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-18","4.3","8.4","0.0","0.0",,"17.2","-2.7","  300","  280","9.8","17.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-19","3.7","0.0","0.0","0.0",,"4.4","-4.9","  290","  280","9.4","17.0",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-20","3.4","0.0","0.0","0.0",,"2.2","-6.0","  310","  310","8.1","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-21","2.0","0.0","0.0","0.0",,"12.8","0.0","  220","  190","5.8","9.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-22","2.7","6.6","0.0","0.0",,"16.1","2.8","  160","  140","7.2","11.6","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-23","3.7","0.0","0.0","0.0",,"20.0","1.7","  270","  280","9.8","13.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-24","3.4","0.0","0.0","0.0",,"1.7","-1.6","   40","  290","7.2","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-25","3.7","18.8","10.0","0.0",,"5.0","-3.2","   60","  280","8.9","11.6","    1",,,,"    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-26","3.2","0.0","0.0","0.0",,"2.8","-4.3","  300","  300","7.6","11.2",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-27","4.3","0.0","0.0","0.0",,"8.9","-2.1","  240","  360","8.9","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-02-28","2.6","0.0","0.0","0.0",,"2.2","-3.2","  300","  300","6.7","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-01","2.6","0.0","0.0","0.0",,"8.9","-0.5","  180","  200","6.3","10.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-02","2.4","0.0","0.0","0.0",,"11.1","4.4","  240","  250","5.8","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-03","4.3","0.8","0.0","0.0",,"8.9","-4.3","  300","  320","8.1","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-04","2.4","0.0","0.0","0.0",,"2.8","-6.0","  240","  230","5.8","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-05","1.6","0.0","0.0","0.0",,"7.8","0.0","  160","  130","5.8","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-06","2.4","1.5","0.0","0.0",,"20.0","6.1","  230","  220","6.7","10.3","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-07","3.3","0.8","0.0","0.0",,"23.3","10.0","  280","  270","13.0","21.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-08","4.1","0.0","0.0","0.0",,"10.0","3.9","  310","  290","10.3","16.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-09","2.6","14.2","10.0","0.0",,"5.0","0.6","   80","   60","6.3","8.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-10","0.8","0.0","0.0","0.0",,"10.6","0.6","  140","   40","3.6","4.9","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-11","2.0","0.0","0.0","0.0",,"12.8","4.4","  140","  150","5.8","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-12","4.4","12.7","0.0","0.0",,"8.9","-4.3","  310","  320","11.6","19.7","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-13","4.0","0.0","0.0","0.0",,"1.7","-5.5","  280","  290","9.8","15.2",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-14","2.5","0.0","0.0","0.0",,"13.3","0.6","  220","  210","6.7","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-15","2.2","0.0","0.0","0.0",,"20.0","7.8","  280","  240","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-16","2.0","0.0","0.0","0.0",,"19.4","8.9","  140","  160","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-17","2.5","2.0","0.0","0.0",,"11.7","7.2","   60","   50","6.3","8.5","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-18","2.2","0.0","0.0","0.0",,"23.3","10.0","  150","  160","5.4","8.5","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-19","1.2","1.3","0.0","0.0",,"21.1","9.4","  290","  290","6.3","8.9","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-20","3.6","0.0","0.0","0.0",,"16.1","7.8","  300","  310","8.1","13.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-21","3.6","0.0","0.0","0.0",,"16.7","6.7","  310","  280","7.6","12.1",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-22","3.3","0.0","0.0","0.0",,"14.4","6.1","  310","  300","7.2","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-23","3.4","1.5","0.0","0.0",,"9.4","3.3","   60","   50","7.2","9.8","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-24","5.1","23.6","0.0","0.0",,"8.3","3.3","   60","   60","9.8","13.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-25","1.9","0.5","0.0","0.0",,"15.6","6.7","  240","  240","8.1","13.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-26","2.7","0.0","0.0","0.0",,"11.7","5.6","  270","  290","6.3","10.3",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-27","4.7","0.0","0.0","0.0",,"7.8","-2.1","  310","  310","9.4","15.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-28","5.5","0.0","0.0","0.0",,"0.6","-4.9","  270","  300","10.3","15.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-29","4.7","0.0","0.0","0.0",,"3.3","-4.3","  310","  300","8.9","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-30","2.1","0.0","0.0","0.0",,"8.3","-1.6","  160","  150","5.4","7.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-03-31","2.2","1.8","0.0","0.0",,"18.9","7.2","  210","  200","6.3","12.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-01","3.9","7.1","0.0","0.0",,"16.1","6.1","  280","  290","9.8","15.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-02","2.8","0.0","0.0","0.0",,"12.2","3.3","  300","  300","8.9","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-03","1.8","3.0","0.0","0.0",,"8.9","4.4","  300","  290","6.3","10.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-04","3.0","0.0","0.0","0.0",,"12.2","3.9","  310","  310","7.2","9.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-05","1.5","1.0","0.0","0.0",,"13.9","7.2","  150","  170","5.8","8.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-06","4.8","11.4","0.0","0.0",,"11.7","6.7","   80","   40","9.8","16.5","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-07","3.3","28.4","0.0","0.0",,"12.2","7.2","  120","  120","8.1","13.9","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-08","3.0","0.8","0.0","0.0",,"18.3","9.4","  240","  230","6.7","10.7","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-09","2.2","1.3","0.0","0.0",,"12.8","8.3","  280","  220","7.6","12.5",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-10","4.3","0.0","0.0","0.0",,"10.0","5.6","  300","  300","9.4","14.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-11","2.2","0.0","0.0","0.0",,"16.1","4.4","  300","  190","5.4","7.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-12","1.7","1.8","0.0","0.0",,"22.2","10.0","  310","  300","5.4","8.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-13","1.7","0.0","0.0","0.0",,"21.7","12.8","  170","  170","6.3","8.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-14","2.1","1.5","0.0","0.0",,"26.1","13.9","  290","  320","7.2","11.6",,,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-15","2.6","0.0","0.0","0.0",,"21.1","11.1","  190","  200","6.7","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-16","2.8","5.1","0.0","0.0",,"22.8","6.7","  350","  220","6.3","11.6","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-17","3.1","0.0","0.0","0.0",,"10.6","5.0","  300","  320","8.1","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-18","3.4","21.6","0.0","0.0",,"12.2","3.9","   70","   70","9.4","14.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-19","4.7","31.5","0.0","0.0",,"10.0","3.9","   60","   50","11.2","16.5","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-20","2.8","0.0","0.0","0.0",,"15.6","5.6","  300","  300","8.9","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-21","2.7","0.0","0.0","0.0",,"15.0","6.7","  180","  140","7.2","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-22","2.8","0.0","0.0","0.0",,"21.1","11.7","  300","  320","6.7","10.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-23","2.3","0.0","0.0","0.0",,"18.3","10.6","  170","  190","4.5","7.6",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-24","2.4","0.0","0.0","0.0",,"17.2","8.9","   60","  130","6.3","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-25","2.2","0.0","0.0","0.0",,"14.4","7.8","  130","  120","5.4","8.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-26","1.5","0.5","0.0","0.0",,"15.6","11.1","   50","  120","4.5","8.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-27","4.7","0.0","0.0","0.0",,"14.4","5.0","  300","  320","8.9","14.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-28","4.6","0.0","0.0","0.0",,"14.4","4.4","  300","  320","9.4","15.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-29","3.5","0.0","0.0","0.0",,"17.2","5.0","  300","  300","8.1","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-30","1.3","0.0","0.0","0.0",,"20.0","6.7","  300","  360","5.8","8.9",,,,,,
